Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;Compagnie Rayon d'ecrits;42011130400028;20 PLACE DES TOULEUSES;95000;CERGY;Concert de cl?ture du Mois Extra-Ordinaire du Handicap aux Trois Baudets.;N;N;15000;12500;12500;;;;12500;50681;Financee
2013;COMPAGNIE RL;34487721200029;11 RUE SAINT-LUC;75018;PARIS;CE QUE NOUS FABRIQUONS manifestation theatrale;N;N;12000;6000;6000;;6000;;;20712;Financee
2013;ASSOCIATION LE FIGUIER;34119424900015;6 RUE DE L' AVE MARIA;75004;PARIS;FONCTIONNEMENT 2013;N;N;543461;210888;210888;210888;;;;32602;Financee
2013;Association sportive du college Wolgang Amadeus Mozart;331320796;7 RUE JOMARD;75019;PARIS;Dynamiser la politique sportive d'un college ZEP du 19eme;N;N;1200;1000;1000;1000;;;;2284;Financee
2013;association suprabenigne;79144024100010;95 RUE DU FAUBOURG DU TEMPLE;75010;PARIS;demande d'aide au projet;N;N;8000;;;;;;;141521;Non financee
2013;Ceux Qui Font les Defis;;190 RUE LECOURBE;75015;PARIS;DEFISTIVAL 2013;N;N;25000;;;;;;;23541;Non financee
2013;Club de Go Cottego;75341045500012;27 RUE DE COTTE;75012;PARIS;41e Tournoi international de go de Paris;N;N;2500;;;;;;;95181;Non financee
2013;club des francais volants de Paris;31827651600024;8 BOULEVARD DE BERCY;75012;PARIS;fonctionnement et fermetures 2014;N;N;370000;430000;430000;430000;;;;38981;Financee
2013;CLUB DES NAGEURS DE PARIS;78452149400012;34 BOULEVARD CARNOT;75012;PARIS;ARE : Atelier sportif;O;N;20210;4720;4720;;4720;;;18392;Financee
2013;CLUB SPORTIF DU MINISTERE DES FINANCES;44783407800019;139 RUE DE BERCY;75012;PARIS;Aide au deceloppement et a la perenisation des differentes sections competition du Club Sportif du M;N;N;25000;14000;14000;14000;;;;16339;Financee
